,state,x,y
0,Jammu & Kashmir,-104.0,262.0
1,Punjab,-131.0,203.0
2,Himachal Pradesh,-97.0,222.0
3,Haryana,-116.0,163.0
4,Uttar Pradesh,-42.0,116.0
5,Uttrakhand,-62.0,181.0
6,Rajasthan,-174.0,115.0
7,Gujurat,-224.0,34.0
8,Bihar,53.0,87.0
9,Madhya Pradesh,-86.0,36.0
10,Maharashtra,-152.0,-41.0
11,West Bengal,101.0,28.0
12,Goa,-182.0,-115.0
13,Chattisgarh,-15.0,-1.0
14,Jharkhand,52.0,43.0
15,Odisha,39.0,-23.0
16,Telangana,-80.0,-73.0
17,Andhra Pradesh,-80.0,-141.0
18,Karnataka,-150.0,-148.0
19,Tamil Nadu,-86.0,-228.0
20,Kerela,-136.0,-231.0
21,Sikkim,108.0,127.0
22,Arunachal Pradesh,226.0,150.0
23,Assam,197.0,101.0
24,Meghalaya,167.0,84.0
25,Manipur,211.0,70.0
26,Mizoram,195.0,39.0
27,Nagaland,226.0,100.0
28,Tripura,176.0,49.0
